ID,微博内容
1,【公安部悬赏通缉深圳工业园山体滑坡事故在逃嫌犯】2015年12月20日，深圳市光明新区光明街道红坳渣土收纳场发生特别重大生产安全责任事故。经查，龙仁福系重大犯罪嫌疑人，林希孝、王明辉系重要犯罪嫌疑人，均在逃。公安部发布#通缉令#，对发现线索的举报人、缉捕有功者，每抓获1人给予5万元奖励↓↓ ????????
2,【遭遇滑坡、泥石流时，如何逃生自救？】#深圳发生山体滑坡事故#救援工作仍在进行，牵动人心。愿救援顺利，愿伤者平安。 当遭遇滑坡、泥石流：①与泥石流成垂直方向，向两边的山坡上面爬。②不能躲在树上，或有滚石和大量堆积物的下方。③不要饮用被污染了的水……但愿用不上，但你一定要知道！ ????????
3,【深圳山体滑坡已造成85人失联！最全防灾常识，你必须掌握[推荐]】截至21日下午6时，#深圳工业园山体滑坡事故#失联人数已至85人，造成16人受伤。山体滑坡、地震、火灾、洪水…如果这些自然灾害突然发生在你身边，你知道该如何自救吗？没人能够知道明天和意外哪个先来。最全防灾常识↓扩散！@人民日报 ????????
4,【郭声琨：把抢救生命放在第一位】据@中国消防 #深圳山体滑坡#发生后，郭声琨要求，核实现场情况，立即组织公安消防、民警开展救援，要把抢救生命放在第一位，最大限度地减少伤亡，同时做好自身防护工作。目前公安消防、公安特警、卫生、应急、安监等部门人员正全力开展搜救。加油战友！辛苦了！ ????????
5,【必看！遭遇山体滑坡如何自救？】#深圳光明新区山体滑坡#造成约20栋建筑被埋压，目前仍多人失联。别以为不去野外就不会遭遇山体滑坡，山体滑坡时如何自救？立即收藏、转发！ ????????
6,【习近平对深圳山体滑坡灾害抢险救援工作作出重要指示】灾害发生后，习近平立即作出重要指示，要求广东省、深圳市迅速组织力量开展抢险救援，第一时间抢救被困人员，尽最大努力减少人员伤亡，做好伤员救治、伤亡人员家属安抚等善后工作。注意科学施救，防止发生次生灾害。O习近平对滑坡救援作指示：尽最大努力减少伤亡 ????????
7,【这只搜救犬，打动了很多人】它前脚缠着绷带，是搜救时受了伤，可它一声不吭，默默在丽水里东村来回走动。昨天它赖在一幢土木结构老房前不走。民警等救援人员徒手或者手拿工具，救出3名被困群众。它叫海亮，是东阳红十字应急救援队的专业搜救犬。在丽水山体滑坡现场，救援，昼夜不停歇。@钱江晚报 ????????
8,【雅溪挺住，公安民警在坚守！】11月13日22时50分许，浙江丽水市莲都区雅溪镇里东村发生山体滑坡，灾情严重，遇难人数现已升至21人，16人失联。两天来，丽水市公安机关全力投入抢险救灾，目前行动仍在紧张进行。@丽水公安 誓言，只要有一丝希望就决不放弃、坚守到底！ ????????
9,#安全贴士#【夺命的山体滑坡 转发扩散！】#浙江丽水山体滑坡#截止今天13时05分许，遇难人数已升至18人，抢险救援工作仍在进行…近年来，山体滑坡事故频出，仅2015年，先后有贵州、云南、广西、重庆、湖北等地发生规模不等的山体滑坡。山体滑坡如何提前预防，又如何逃生？好好看看↓↓ ????????
10,【关于深圳光明新区山体滑坡灾害的第三次情况通报】此次灾害滑坡覆盖面积约38万平方米，余泥渣土厚度达数米至十数米不等，造成恒泰裕、柳溪、德吉程三个工业园33栋（间）建筑物被掩埋或不同程度损毁。截至21日6时00分，失联人员共91人（男59人、女32人）。 °关于深圳市光明新区山体滑坡灾害救援处置第三... ????????
