序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #酒后驾驶##一路平安# 【饮酒庆祝拿照后竟驾车 男子从拿驾照到注销仅8小时】??????????????刚刚拿到驾照当然是抓紧时间练车，但程某却找来朋友喝酒庆祝，酒后还开上了共享汽车。28日晚上，尚处实习期的程某因酒后驾车，被西安交警灞桥大队注销驾照，并进行了处罚。????????????????9月28日21时，西安交警灞桥大队在 ????????...展开全文c                                            ", 9月30日 17:44,转发,评论,3,荣耀V8 脱影而出,FodWpAd3e
2,"
                                                                                                    #一路平安##交警提示##关注交通安全# ????????????????沿黄观光路北起榆林市府谷县墙头乡，南至华阴市华山莲花座，全长828.5公里，其中一级公路33.4公里，二级公路238.5公里，三级公路545.8公里，城市道路10.8公里。????????????????在国庆、中秋假期很多拥有私家车的朋友准备驾车游览沿黄公路美景的时候，省交警总队 ????????...展开全文c                                            ", 9月30日 16:51,9,1,1,荣耀V8 脱影而出,FodBbpmGk
3,"
                                                                                                    #平安365# 在湿滑路面行驶时，车辆制动力下降，使用紧急制动时易发生侧滑。因此连续下坡路段，应保持安全车速和车距，遇有情况时要提前减速。                                            ", 9月30日 16:20,转发,1,52,iPhone客户端,Fodofai9O
4,"
                                                                                                    #长假我在岗##一路平安#陕西西安兵马俑南倚骊山，北临渭水，气势宏伟，是全国重点的文物保护单位，世界文化遗产，国家5A级景区。在双节来临之际，前往兵马俑参观的朋友们可要注意了，来看看临潼交警蜀黍们给大家制作的停车示意图和行驶路线图，为大家的出游提供更好的交通环境（图 ????????...展开全文c                                            ", 9月30日 14:56,转发,评论,1,荣耀V8 脱影而出,FocQgzngu
5,"
                                                                                                    #交警提示##长假我在岗# 【陕西交警快讯??西安】????????????????双节期间，为确保城市道路交通畅通，方便市民便捷出行、快速处理交通事故，西安市内7个交通事故快处快赔服务中心正常办公。??????????????西安市内7个交通事故快处快赔服务中心对外办公时间为每天上午8:30至12:00，下午13:00至17:30。??????????????对于在 ????????...展开全文c                                            ", 9月30日 10:48,1,评论,1,荣耀V8 脱影而出,FobdOu8cQ
6,"
                                                                                                    #长假我在岗##交警提示# 【陕西交警快讯??商洛】????????????????为了给国庆假期外地回来的群众服务，不耽误广大人民群众行程，商洛交警支队车管所2017年国庆假期照常上班，为群众办理车辆、驾驶人业务。 ????????                                            ", 9月30日 10:48,转发,评论,赞,荣耀V8 脱影而出,FobdN6gai
7,"
                                                                                                    #一线微观#【驾照注销后补考7次没过 无证上路被查】#交警提示# 驾驶人要关注自己的驾驶证期限，到期要及时检验换证。                                            ", 9月30日 10:01,1,评论,50,iPhone客户端,FoaULbUWT
8,"
                                                                                                    #一路平安##关注交通安全##平安365# 假期即将来临，出游的小伙伴们准备好了吗？不过不要着急，出行前看看陕西交警蜀黍们的温馨提示@陕西公安????@公安部交通安全微发布 ????????                                            ", 9月30日 09:50,2,评论,赞,荣耀V8 脱影而出,FoaQ739Z6
9,"
                                                                                                    #一路平安# 用你们的坚持换群众的平安，辛苦了！@陕西公安 @公安部交通安全微发布                                            ", 9月30日 07:55,转发,评论,203,iPhone客户端,Foa5CeoeE
10,"
                                                                                                    #酒后驾驶##一路平安# “双节”临近，全省各市交警部门将持续严肃查处饮酒、醉酒等严重交通违法行为，为“双节”期间营造一个良好的交通环境，为大家的安全出行保驾护航@陕西公安 ????????                                            ", 9月29日 20:52,转发,评论,赞,荣耀V8 脱影而出,Fo5KpnWSx
11,"
                                                                                                    #直播预告#                                             ", 9月29日 17:01,转发,评论,2,iPhone客户端,Fo4eqwNYz
12,"
                                                                                                    #平安365# 雨天路滑，车辆制动力下降，车辆行驶时应保持安全车速和车距，遇有情况时要提前减速。                                            ", 9月29日 16:31,2,评论,26,iPhone客户端,Fo42xyz4m
13,"
                                                                                                    #平安365# 【任性的代价】                                            ", 9月29日 16:27,1,评论,41,iPhone客户端,Fo40Y4J0m
14,"
                                                                                                    #酒后驾驶##一线微观# 【醉酒驾驶“校车”，胆大已被刑拘】????????????????9月29日7时40分左右，西安交警长安大队民警在107省道巡逻时，发现一辆“校车”标识不清，遂对其进行检查。经查，该车辆为金某某幼儿园的陕A43***接送幼儿的黄色东风牌大型客车，驾驶人涉嫌酒后驾车。民警把车内幼儿妥善安置后，并将 ????????...展开全文c                                            ", 9月29日 16:22,2,1,赞,荣耀V8 脱影而出,Fo3YEth2K
15,"
                                                                                                    #交警提示##一路平安# 【陕西交警快讯??渭南】??????????????双节来临，渭南临渭区渭桥路丰塬段的盘山公路上，民警正对客运车辆的轮胎、刹车、灭火器、乘客安全带等进行认真查验。??　　在国庆、中秋双节来临之际，临渭交警大队提早动手排查危险路段隐患，严查客车运营安全。（来源：渭南日报记者崔正博通讯 ????????...展开全文c                                            ", 9月29日 15:16,转发,评论,赞,荣耀V8 脱影而出,Fo3xLhOCZ
16,"
                                                                                                    #权威发布##一路平安#????°关于京港澳高速河南新乡段发生一起重大道路交... ????????                                            ", 9月29日 12:00,5,评论,2,荣耀V8 脱影而出,Fo2gvz6DN
17,"
                                                                                                    #交警提示# 【陕西交警快讯??商洛】????????商洛市下月开始执行新的驾考评判标准　　为贯彻落实公安部下发的《机动车驾驶人考试内容与方法》等10项行业新标准的通知，我市各驾驶员考试场地及其系统信息的升级工作正在紧张进行，确保从10月份起，全市正式执行新的驾考评判标准。??　　重视养成良好文明驾 ????????...展开全文c                                            ", 9月29日 10:57,转发,1,赞,荣耀V8 脱影而出,Fo1QX8vIW
18,"
                                                                                                    #关注交通安全# “双节”临近，我们即将踏上旅途，驾驶车辆除了要注意车辆性能外，更要注意驾驶行为，文明出行，让我们看看下面漫画，更喜欢怎样的驾驶行为呢@陕西公安????@公安部交通安全微发布????（西安交警支队新城大队靳蕾供稿） ????????                                            ", 9月29日 10:10,2,评论,2,荣耀V8 脱影而出,Fo1xzlM6D
19,"
                                                                                                    #一线微观#【为乘车冒险横穿 神躲避轮下留人】#交警提示# 生命宝贵，莫为赶车将自己置身于危险中。                                            ", 9月29日 09:22,3,评论,401,iPhone客户端,Fo1epaPZJ
20,"
                                                                                                    #一线微观# 职责所在，淤泥也掩盖不了警服的威严。@陕西公安 @公安部交通安全微发布????//@南邪上人1998:安康女交警威武！警情就是命令！为他们点赞！                                            ", 9月29日 08:47,11,4,13,iPhone客户端,Fo10duZre
21,"
                                                                                                    #平安365# #交警提示# 使用伪造、变造的机动车登记证书、号牌、行驶证、驾驶证的，由公安机关交通管理部门予以收缴，扣留该机动车，处15日以下拘留，并处2000元以上5000元以下罚款；构成犯罪的，依法追究刑事责任。                                            ", 9月28日 15:49,2,1,20,iPhone客户端,FnUkH7nxG
22,"
                                                                                                    #一线微观#【“黑车”超员冲卡躲处罚 高速狂飙终落网】非法营运、超员、超速、违规变道超车、阻碍执行公务等多项违法行为，将面临严厉的处罚。                                            ", 9月28日 10:11,1,评论,44,三星android智能手机,FnS7IFOV5
23,"
                                                                                                    #平安365# 雨天路滑，车辆制动力下降，车辆行驶时应保持安全车速和车距，遇有情况时要提前减速。                                            ", 9月27日 16:19,1,评论,38,iPhone客户端,FnL6Bd0I2
24,"
                                                                                                    #一线微观#【客车拉了44人 司机竟然是酒驾！】 酒后驾驶营运车，处15日拘留，并处5000元罚款，吊销机动车驾驶证，5年内不得重新取得机动车驾驶证。                                            ", 9月27日 14:26,2,1,38,微博 weibo.com,FnKmz3o8O
25,"
                                                                                                    //@商洛发布: 部分群众因过水路面涨水无法回家，民警利用警车分批将滞留群众平安送过河。                                            ", 9月27日 11:41,转发,1,赞,微博 weibo.com,FnJhECT75
26,"
                                                                                                    #一路平安#【乐行 山路安全驾驶】最全的山路安全驾驶技巧！                                            ", 9月27日 11:20,5,1,154,微博 weibo.com,FnJ92jGpi
27,"
                                                                                                    注意安全！//@畅通西安: #西安交警微提醒#                                             ", 9月27日 11:13,转发,评论,2,微博 weibo.com,FnJ6atEmO
28,"
                                                                                                    #交警提示#????雨天路滑，车辆制动力弱，请保持安全车速、车距，遇有情况提前减速，尽量减少并线变道。                                            ", 9月27日 11:09,1,评论,2,微博 weibo.com,FnJ4HrF5u
29,"
                                                                                                    #关注交通安全# 看白鹿哥哥和爷爷奶奶们唠交通安全                                            ", 9月27日 11:04,1,评论,2,微博 weibo.com,FnJ2O8yxd
30,"
                                                                                                    注意安全！                                            ", 9月27日 10:38,1,评论,赞,微博 weibo.com,FnISaBumS
31,"
                                                                                                    #权威发布# 【陕西省2017年国庆中秋长假“两公布一提示”】假期出行必备~都在链接里→ → O网页链接????@公安部交通安全微发布                                            ", 9月27日 10:31,3,1,2,微博 weibo.com,FnIPhwJxj
32,"
                                                                                                    #关注交通安全# 【农村交通安全墙绘】@陕西公安 @公安部交通安全微发布                                            ", 9月27日 10:02,1,1,赞,微博 weibo.com,FnIDoARew
33,"
                                                                                                    #一线微观#【奉法知礼 这一幕 温暖了所有人】                                            ", 9月27日 09:19,1,评论,163,微博 weibo.com,FnImc7295
34,"
                                                                                                    #一线微观#【安康汉阴交警：启动应急预案全力应对阴雨天气道路交通管理工作】                                            ", 9月27日 08:36,转发,评论,2,微博 weibo.com,FnI4u4MYn
35,"
                                                                                                    #平安365# 驾驶证被吊销仍驾驶机动车的，由公安机关交通管理部门处二百元以上二千元以下罚款，可并处15日以下拘留。                                            ", 9月26日 15:40,2,评论,26,iPhone客户端,FnBq7gB5m
36,"
                                                                                                    #交警提示#  雨天路滑，车辆制动力弱，请保持好安全车速、车距，遇有情况提前减速，尽量减少并线变道。打开车灯，让周围的车能看到自己。                                            ", 9月26日 09:43,1,评论,1,微博 weibo.com,Fnz5rigIZ
37,"
                                                                                                    #一线微观# 【客车缺失32根安全带 车上坐满“小候鸟”】#交警提示# 安全带是生命带，乘车时请系好安全带！                                            ", 9月26日 09:38,1,评论,406,微博 weibo.com,Fnz35l2vU
38,"
                                                                                                    //@安康交警: @公安部交通安全微发布????@陕西交警????@安康警务????@安康直播????@安康发布????@FM959安康交通广播                                            ", 9月26日 09:15,转发,1,赞,微博 weibo.com,FnyTXsBkP
39,"
                                                                                                    #权威发布# 【关于加强沿黄观光路通行管理的通告】@陕西公安 @公安部交通安全微发布 °权威发布 | 关于加强沿黄观光路通行管理的通告 ????????                                            ", 9月26日 09:14,2,评论,赞,微博 weibo.com,FnyTwzVLj
40,"
                                                                                                    #平安365# 注意安全！@陕西公安                                            ", 9月26日 09:10,转发,评论,3,微博 weibo.com,FnyS0296K
41,"
                                                                                                    #平安365# 山阳交警加强雨天路面管控和隐患排查 @陕西公安                                            ", 9月26日 09:08,转发,1,赞,微博 weibo.com,FnyQYcxDq
42,"
                                                                                                    #权威发布# 【关于国庆中秋假期西安绕城高速 京昆高速西汉段对货运车辆实施分流的通告】 @陕西公安 @公安部交通安全微发布 °权威发布 | 关于国庆中秋假期对货运车辆实施... ????????                                            ", 9月26日 08:38,4,1,赞,微博 weibo.com,FnyEIpxiH
43,"
                                                                                                    #权威发布#????【国庆中秋长假将至 公安部发布交通安全预警】                                            ", 9月25日 21:27,1,评论,95,iPhone客户端,FnugoDgP2
44,"
                                                                                                    #平安365# 隧道行车应控制好车速、车距，禁止随意变道。                                            ", 9月25日 15:54,5,1,40,微博 weibo.com,Fns5gdI3B
45,"
                                                                                                                                                ", 9月25日 15:38,1,评论,8,微博 weibo.com,FnrYWbqux
46,"
                                                                                                    #关注交通安全# 摩托车雨天行驶注意事项                                            ", 9月25日 10:50,1,1,赞,微博 weibo.com,Fnq5UDxpE
