ID,微博内容
1,#安全警示# 为汲取“8.10”特大交通事故的惨痛教训，切实消除辖区内高速公路安全隐患，不断改善道路通行条件，全力预防重特大交通事故，深入开展“三个不发生”创建活动。8月27日，安康高交大队再次安排警力对所辖路段的所有隧道、桥梁及沿线安全防护设施开展了交通安全隐患排查整治。 ????????...展开全文c
2,#路况信息# ????????????????京昆高速安康段全线小到中雨，路面湿滑。西安至汉中方向石门隧道附近发生多起交通事故，因事故现场为下坡弯道，为确保安全，现在秦岭服务区临时交通管制，预计1小时候后放行。请过往司机听从现场工作人员指挥，切勿加塞、抢道、占用应急车道，请耐心等待，解除管制后安全有序通行 ????????...展开全文c
3,【扩散！隧道行车注意事项】隧道行车是很容易出事故的地方。怎样在隧道行车中避免事故发生？提醒：??进入隧道前减速开灯；?? 拉开足够车距；?? 不要开远光灯；??不要变换车道，勿超车；??车辆在隧道内抛锚，人员尽快撤离，到安全区域等待，切勿自行下车维修。 ????????
4,【西汉高速交通事故已36死13伤】8月10日23时，西汉高速陕西段发生一起交通事故，目前已造成36人死亡13人受伤。初步了解，事故车辆为一辆客运车，从成都发往洛阳，在途经西汉高速秦岭隧道时，因撞到隧道墙壁发生事故，伤者已被紧急送医！大巴车遇车祸怎么办？乘坐大巴车注意安全！ ??周知提醒~ ????????
5,【公安部领导率工作组赴事故现场指导调查】8月10日23时许，陕西省境内京昆高速公路安康段秦岭1号隧道发生一起大客车碰撞隧道口事故，造成车内36人死亡，13人受伤。目前伤者已送往当地医院救治，事故调查工作正在进行中。事故发生后，国务委员、公安部部长郭声琨高度重视，立即做出指示，要求迅速查明 ????????...展开全文c
6,"【三部门工作组现场指导处置京昆高速安康段特大交通事故】针对京昆高速安康段发生大客车碰撞隧道事故,国家安全生产监督管理总局、公安部、交通运输部三部门工作组赶赴现场指导处置工作,要求认真贯彻落实好中央领导同志批示精神,尽最大努力抢救伤员,妥善做好事故善后处置工作。°三部门工作组现场指导处置京昆高速安康段特大... ????????"
7,//@西部网: 【西安城南站发往汉中车辆全部绕行西安-安康高速】据初步了解，事故车辆为河南经营的一辆客运车，从成都发往洛阳，在途经西汉高速秦岭隧道时，因撞到隧道墙壁发生事故。事故发生后，城南客运站发往汉中方向的所有班线全部绕行西康高速，途经十天高速进入汉中区域，望旅客周知。
8,#西安身边事#【西汉高速车祸致36死 专家：道路设计不合理 应追究设计者责任】8月10日，陕西境内京昆高速秦岭段西安方向发生车祸，造成36人死亡，13人受伤。上海海事大学交通工程专业副教授钱红波认为，事故除可能存在的疲劳驾驶等人为原因以外，还和隧道本身的设计不合理有关，建议应该考虑对这部分设 ????????...展开全文c
9,【三部门工作组现场指导处置京昆高速安康段特大交通事故】针对京昆高速安康段发生大客车碰撞隧道事故，国家安全生产监督管理总局、公安部、交通运输部三部门工作组赶赴现场指导处置工作，要求认真贯彻落实好中央领导同志批示精神，尽最大努力抢救伤员，妥善做好事故善后处置工作。°三部门工作组现场指导处置京昆高速安康段 特... ??????????查看图片
10,【公安部领导率工作组赴京昆高速大客车碰撞隧道事故现场指导调查】8月10日23时许，陕西省境内京昆高速公路安康段秦岭1号隧道发生一起大客车碰撞隧道口事故，造成车内36人死亡，13人受伤。公安部领导率工作组立即赶赴现场指导事故调查处置工作。°公安部领导率工作组赴京昆高速 大客车碰撞隧... ??????????查看图片
