ID,微博内容
1,【市政府常务会议研究部署经济运行、防汛救灾等重点工作】9月28日，市长赵俊民主持召开市政府2017年第10次常务会议，研究部署经济运行、防汛救灾、脱贫攻坚等重点工作。O网页链接 ????????
2,【市防指发出紧急通知要求做好“双节”期间防汛抗洪救灾工作】根据气象部门预报，9月29日下午到10月8日我市将再次出现持续连阴雨天气过程。为此，市防指发出紧急通知，要求高度重视，切实做好“双节”期间防汛抗洪救灾工作，确保安全度汛。O网页链接 ????????
3,【郭青就当前防汛抢险救灾工作作出重要指示：努力夺取防汛抢险救灾的胜利】9月27日，市委书记郭青就进一步做好当前防汛抢险救灾工作作出重要指示，要求坚持生命至上，强化科学调度，严明工作纪律，努力夺取防汛抢险救灾的胜利。O网页链接 ????????
4,【我市第十六届运动会圆满闭幕】9月27日，我市第十六届运动会圆满完成各项赛程，在市体育中心篮球馆胜利闭幕。经过18天的激烈角逐，11个大项比赛已经全部结束，共决出114个团体和1196个个人奖项，有5项8人次打破市运会记录。O网页链接 ????????
5,【“共建丝茶之路 同品安康富硒茶”安康（白河）富硒茶招商推介活动成功举行】9月26日上午，2017中国-蒙古国博览会在内蒙古自治区呼和浩特市开幕。当天下午，第二届中国-蒙古国博览会 陕西推介会“共建丝茶之路??同品安康富硒茶”安康（白河）富硒茶招商推介活动在呼和浩特市隆重举行。  ????????...展开全文c
6,【强降雨致安康多地受灾 全市奋起抗洪抢险救灾】自9月23日以来，安康遭遇今年最大强降雨，引发部分县区洪涝灾害。连日来，安康各级迅速行动，全力以赴做好防汛抢险救灾各项工作。全市已紧急转移安置人口19526人。O网页链接 ????????
7,【我市召开紧急视频会议部署当前防汛抢险救灾工作】9月26日下午，我市召开紧急视频会议安排部署当前防汛抢险救灾工作。市长赵俊民出席会议并讲话。市政府秘书长陈伍文主持会议。各县区在分会场参加会议。O网页链接 ????????
8,【市委召开常委会议】9月22日下午和23日下午，市委召开常委会议，传达贯彻省上有关会议精神，研究部署脱贫攻坚和“三变”改革等工作。O网页链接 ????????
9,【赵俊民检查会商防汛防滑工作】9月25日下午，市长赵俊民到市防汛指挥部检查指导当前防汛防滑工作。他指出，近期全市大范围降雨，根据天气预报，降雨还将持续一周以上，防汛防滑形势非常严峻。他要求，要加强值班值守，密切关注雨情汛情，科学统筹调度力量，指导县区及时应对险情。O网页链接 ????????
10,转发微博
11,【我市第十六届运动会隆重开幕】9月22日下午，市第十六届运动会在安康体育场隆重开幕。本届运动会以“秦巴明珠、生态安康、绿色市运、全民共享”为主题，以“创新、协调、绿色、开放”为理念，比赛从9月10日开始到9月27日闭幕，历时18天，共有68个代表团参赛，参赛运动员、教练员4199人。 ????????...展开全文c
12,【秦巴明珠·美丽安康摄影展在瑞士日内瓦开展】9月20日，“秦巴明珠·美丽安康”摄影风光展在瑞士日内瓦联合国世界气象组织总部开展。该摄影展主要表现安康自然风光，体现安康人文情怀，展现安康现代化建设风貌。此次摄影展将展出14天。O网页链接 ????????
13,【我市启动“全国科普日”主场活动】9月20日上午，安康市暨汉滨区“全国科普日”主场活动在金州广场正式启动。本次“全国科普日活动”自9月16日起至22日结束，以“创新驱动发展、科学破除迷信”为主题。O网页链接 ????????
14,转发微博
15,"【安康市开展""为政不为""专项整治】此次专项整治自9月上旬至12月底，范围涵盖全市各级党的机关、人大机关、政府机关、政协机关、审判机关、检察机关及其所属部门和机构，以及群团组织、事业单位、具有或受委托行使公共管理和服务职能的单位等国家公职人员。O网页链接 ????????"
16,【我市应邀在全面深化改革推进落实暨“淄博实践”高层研讨会上发言】9月16日至17日，中国经济体制改革杂志社在山东淄博举办全面深化改革推进落实暨“淄博实践”高层研讨会。市委常委、副市长、深改组副组长、改革办主任尹清辽代表我市参加会议，并作为市级代表交流发言，以《试点破难题、落实见真章》 ????????...展开全文c
17,转发微博
18,转发微博
19,【我市一批信访工作先进集体和个人受到中省表彰】近日，从全省第七次信访工作会议上传来喜讯，我市宁陕县、安康市信访局等4个集体、6名个人受到中省表彰。O网页链接 ????????
20,【安康市2014年特岗教师服务期满拟聘用人员公示】经各县（区）考核和申报，现将安康市2014年招募特岗教师服务期满拟聘用人员予以公示。公示时间：2017年9月19日到2017年9月27日。公示期间如有异议， 请及时向安康市人力资源和社会保障局反映。O网页链接 ????????
21,【第二届中国创新挑战赛（安康）68项技术需求面向全国公开招标】凡在国内注册，具有独立法人资格且具备承担竞标项目相应研发能力的高等院校、研究机构、企业、自然人等均可报名参赛。大赛设优胜奖6项，每项奖励10万元；优秀奖6项，每项奖励1万元。O网页链接 ????????
22,转发微博
23,【8月安康空气质量全省第一】日前，陕西省环境保护厅发布2017年8月及1—8月全省城市空气质量状况和县城空气质量状况。8月，13个市（区）空气质量由好到差依次是：安康、商洛、汉中、宝鸡、榆林、铜川、杨凌、延安、渭南、西安、韩城、咸阳、西咸。O网页链接 ????????
24,【市政府召开消防重点工作约谈会】9月15日，市政府召开消防重点工作约谈会，要求强化责任落实，严格考核督查，强力推进消防能力建设提振计划、高层建筑消防安全综合治理等消防重点工作落实见效。O网页链接 ????????
25,【市政府办公室发布2017年政务公开工作绩效评估指标】我市根据全省统一评估标准，明确了部分个性化的指标要求，将于9月至12月，组织对各县区政府、市政府各工作部门、直属机构进行评估，评估结果作为对县区和市直部门政务公开工作目标责任考核的重要依据。O网页链接 ????????
26,【我市93户中小企业被认定为第三批省级成长梯队企业】近日，我市旬阳县净源饮料有限公司、陕西天一泉食品饮料有限公司、安康鸿天科技开发有限公司等93户企业被省中小企业促进局认定为第三批省级成长梯队企业，其中，“行业之星”企业15户、“成长之星”企业35户、“创业之星”企业43户。 ????????...展开全文c
27,【郭青在全市飞地经济推进座谈会上强调：强化统筹 加快发展】9月11日，我市召开飞地经济推进座谈会，市委书记郭青出席会议并讲话。他强调，要加强各方统筹，拓展融资渠道，优化招商引资，加快推进飞地经济发展。O网页链接 ????????
28,【省委巡视办调研检查安康巡察工作】9月7日至10日，省委巡视办调研检查组杨己宁组长一行对安康市巡察工作开展情况进行调研检查。调研检查组先后听取了市委巡察工作领导小组工作汇报，召开了县区巡察办主任和市委巡察组组长座谈会，进行了个别谈话，查阅了相关工作资料，并深入到石泉等县区进行了调研检 ????????...展开全文c
29,【市委召开常委扩大会议 专题研究部署当前脱贫攻坚工作】9月11日，市委召开常委扩大会议，传达贯彻省委副书记毛万春在全省深度贫困地区脱贫攻坚推进座谈会上的讲话和全省脱贫攻坚扶贫扶志现场推进会精神，听取当前全市脱贫攻坚工作情况汇报，研究部署当前脱贫攻坚工作。O网页链接 ????????
30,【市政府应邀参加国际合作信息信用系统建设研讨会】9月9日，国家发展改革委国际合作中心在北京举办了“国际合作信息、信用系统建设研讨会”。受国合中心邀请，市委常委、副市长尹清辽代表市政府参加会议，并作交流发言，分享了安康市信息、信用系统建设的做法和经验。O网页链接 ????????
31,【“健康素养66条”，你做到了几条？】①劳逸结合，每天保证7~8小时睡眠。②戒烟越早越好，什么时候戒烟都为时不晚。③勤洗手、常洗澡，不共用毛巾和洗漱用具。④不在公共场所吸烟，尊重不吸烟者免于被动吸烟的权利……中国公民健康素养66条，你做到了几条？O网页链接 ????????
32,转发微博
33,【紫阳富硒茶专场推介活动在宁夏银川成功举行】9月6日上午，2017中国-阿拉伯国家博览会在宁夏银川开幕。当天下午，由安康市政府主办，紫阳县政府、安康市农业局、市政府新闻办承办的“共建丝茶之路，同品安康富硒茶”紫阳富硒茶宁夏银川专场推介活动在宁夏国际会堂举行。O网页链接 ????????
34,【致全市广大教师和教育工作者的慰问信】在第33个教师节来临之际，市委、市政府向辛勤工作在全市教育战线上的广大教师、教育工作者和离退休教职员工致以节日的祝贺和诚挚的问候！向长期关心支持全市教育事业发展的社会各界人士表示衷心的感谢和崇高的敬意！O网页链接 ????????
35,【我市进一步推进核桃产业建设】9月4日，我市召开核桃产业建设推进会，通报全市核桃产业发展总体情况，安排部署下一步全市核桃产业发展工作。O网页链接 ????????
36,转发微博
37,【央视《国宝档案》栏目深度解读安康石泉鎏金铜蚕】近日，CCTV-4《国宝档案》栏目播出《镇馆之宝——子午古道上的鎏金铜蚕》，深度解读安康石泉鎏金铜蚕。 L安康发布的微博视频 ????????
38,【安康名优特产走进宁波】9月4日，安康市名优特色产品走进宁波暨承接加工贸易产业转移推介会在宁波市举行。我市就加工贸易产业转移政策措施、重点合作领域及重点招商项目等进行了推介。会议共签订框架协议2个，项目合同3个，总金额18.2亿元。O网页链接 ????????
39,转发微博
40,转发微博
41,【三季度全市政府网站建设“成绩单”出炉】第三季度，“我为政府网站找错”栏目网民有效留言11条，总体办结率达100%；各县区、各部门政府信息公开工作进一步深化，对上级政府网站保障力度稳步提升；随机人工抽查全市政府网站35个，有8个政府网站不合格。O网页链接 ????????
42,"【赵俊民到市脱贫攻坚指挥部调研】8月30日，市委副书记、市长赵俊民在市脱贫攻坚指挥部调研时强调，脱贫攻坚是一项长期的复杂的系统工程，全市各级各有关部门要进一步解放思想，开拓创新，提升脱贫攻坚工作的针对性和有效性 ,确保全年脱贫目标任务圆满完成。O网页链接 ????????"
43,转发微博
44,【我市名优特色产品9月4日将走进宁波】市政府决定于9月4日在宁波市举办“安康市名优特色产品走进宁波暨承接加工贸易产业转移招商推介活动”。届时我市各县区、相关部门、33家名优特色产业重点企业、浙江省150户重点宾馆酒店、超市、商场、加工贸易企业等500户企业负责人将受邀参加。 ????????...展开全文c
45,【郭青在市委反腐败协调小组会议上强调：统筹推进 充分凝聚反腐败强大合力】8月30日上午，市委反腐败协调小组召开工作会议。市委书记郭青指出，当前党风廉政建设和反腐败工作形势依然严峻复杂，全面从严治党仍然任重道远，必须时刻保持清醒头脑，绝不能有丝毫麻痹松懈思想，坚持做到管党治党不放松、正 ????????...展开全文c
