序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,FeatureID,DataSource,Score
1,【汶川一小入选全国文明校园候选名单】9月27日，记者从中国文明网获悉，中央文明办公示了第一届全国文明校园候选名单。四川省22所学校入选，汶川县第一小学校上榜。记者了解到，创建期内学校领导班子成员有严重违纪、违法事件，有重大校园安全责任事故、重大消防责任事故，有严重违规办学(办班)等问题 ????????...展开全文c, 9月30日 15:36,转发,评论,4,微博 weibo.com,Fod6y1VPp,0,1,-1,1,0.7264020821700692
2,【缅怀英烈 阿坝州举行公祭烈士活动】9月30日是我国烈士纪念日。当天上午，2017年阿坝州暨茂县公祭烈士活动在茂县革命烈士陵园举行，州、县领导干部及社会各界代表220余人参加公祭活动。9时30分，公祭活动正式开始，全场肃立，奏唱《中华人民共和国国歌》，共同为烈士默哀。随后，现场60余名少先队员唱 ????????...展开全文c, 9月30日 15:28,4,评论,27,微博 weibo.com,Fod3svlfi,0,2,-2,1,0.7048253101975471
3,【2018年高考艺体类专业招生网报10月10-14日进行】艺体生们注意了，2018年普通高等学校艺术体育类专业招生报名即将启动。9月29日，四川新闻网记者从省教育考试院获悉，报考2018年普通高校艺术体育类（含运动训练、武术与民族传统体育）专业的考生应于2017年10月10日至14日12:00，登录各市州招考办指定 ????????...展开全文c, 9月30日 11:10,转发,1,1,微博 weibo.com,FobmG7tbh,0,3,-3,1,0.6844860983634591
4,【九寨沟县地震灾后首个校园应急示范站成立】“高新九寨心连心，震后九寨更美丽。”9月28日下午，由成都高新区志愿者协会党支部、成都市义工联合会党支部联合主办的“支援九寨沟县第四小学应急示范站建设暨校园信息建设项目”捐赠仪式在九寨沟县第四小学举行。捐赠活动上，由成都高新区志愿者协会援建 ????????...展开全文c, 9月30日 11:09,转发,评论,3,微博 weibo.com,FobmfxW0e,1,4,1,1,0.6930160077107101
5,#阿坝这五年##阿坝依然美丽#【阿坝高原 民族团结之花常开常盛】每当夜幕降临，华灯初上，马尔康文化宫广场上热闹非凡。伴着旋律优美的锅庄音乐，各族干部群众跳起欢快的锅庄，开启了愉快的晚间模式。藏族、羌族、回族、汉族，不同民族；大到耄耋、小到垂髫，不同年龄；本地群众、外来游客，无论是文化 ????????...展开全文c, 9月29日 10:39,2,评论,4,微博 weibo.com,Fo1Ju6DYC,0,5,-4,1,0.7601889043739884
6,【四川表彰九寨沟地震及茂县山体滑坡抢险救灾先进典型丨全名单】“8·8”九寨沟地震及“6·24”茂县特大山体滑坡灾害发生后，在党中央、国务院和四川省委、省政府的坚强领导下，四川省各级党组织和广大共产党员勇于担当、冲锋在前，为抗震抢险救灾作出了重要贡献，涌现出一大批先进典型。9月28日上午9点 ????????...展开全文c, 9月29日 10:36,1,1,12,微博 weibo.com,Fo1Ib9vdI,1,6,2,1,0.7482302397515327
7,#阿坝天气# 今天是2017年9月29日 星期五 农历八月初十 。今日我州都有雨，阿坝、红原和壤塘是中雨转小雨，其他各地都是小雨。气温适宜，只是早晚温差偏大，注意添加衣物，以防感冒哦 ????????, 9月29日 10:22,转发,评论,2,微博 weibo.com,Fo1CECisn,0,7,-5,1,0.7143749786326588
8,【茂县高中生获2017年成都国际马拉松赛女子组半程赛第一名】9月23日上午8时，东风日产2017年成都国际马拉松赛在成都鸣枪开跑，经过激烈角逐，茂县中学高2017级学生唐庭婉以1时19分13秒荣获女子组半程赛第一名。 ????????, 9月28日 17:49,1,4,24,微博 weibo.com,FnV7wrzQ4,0,8,-6,1,0.7404679737057537
9,#阿坝这五年#【阿坝州第三季度70个项目今日集中开工】9月28日上午，阿坝州2017年第三季度项目集中开工仪式在阿坝县举行。第三季度项目集中建设包含全州13个市县共70个，总投资52.46亿元，年度计划投资12.58亿元。??这些项目的开工建设将为阿坝藏区经济发展再添后劲。 ????????, 9月28日 17:26,1,1,11,微博 weibo.com,FnUYe0gv6,0,9,-7,1,0.7095183079536855
10,【羌族作家叶星光作品《红色土司》将拍成电影】近日，我国首部羌族红色题材院线电影《红色土司》摄制组到松潘县选景，为10月20号的正式开机拍摄做好充分的准备。据了解，《红色土司》系阿坝州本土羌族作家、羌文化学者叶星光在其编纂的《安登榜传》和倾注其数年心血创作的文学作品《尔玛魂》基础上改编 ????????...展开全文c, 9月28日 17:23,1,1,14,微博 weibo.com,FnUX0jNFC,0,10,-8,1,0.7644671470088065
11,【若尔盖：治沙项目植被盖率达70%以上】若尔盖县2011年至2016年防沙治沙的工程项目建设成效已初步显现，已实施的治沙项目植被盖度已达到70%以上。同时，若尔盖县环境保护和林业局对正在实施的治沙项目做出指导，要求对苗木成活率低、植被恢复差的项目必须进行补植补播，监理方必须督促好施工方的工程质 ????????...展开全文c, 9月28日 17:21,1,评论,4,微博 weibo.com,FnUW0iOC2,0,11,-9,1,0.7789812910703122
14,#阿坝这五年##马尔康锅庄节# 惠民演出完美落幕，感谢来自首都的舞者们为他们点赞 ????????, 9月27日 21:16,1,1,8,iPhone 6s,FnN2UiKl9,0,14,-10,1,0.7011995949538796
15,#阿坝这五年##马尔康锅庄节# 中央民族大学舞蹈学院和北京舞蹈学院带来的精彩惠民演出 ????????, 9月27日 20:31,2,评论,4,iPhone 6s,FnMKRy5aR,0,15,-11,1,0.4929687743373513
16,【金秋十月 红原至拉萨航线将正式开通】为更好地推动阿坝州全域旅游快速发展，搭建农牧民群众出行快捷、便利的服务通道。2017年10月，红原机场将开通红原至拉萨航线，该航线是红原机场继成都、重庆两条航线后开通的第三条航线，也是我州首条跨藏区的长距离航线。该航线的开通，标志着“环红原机场旅游 ????????...展开全文c, 9月27日 18:07,3,3,10,iPhone 6s,FnLOmlwY9,0,16,-12,1,0.7111471888211518
18,#阿坝这五年# 激情锅庄，舞动马尔康，喜迎十九大, 9月27日 16:02,2,评论,6,iPhone 6s,FnKZIveFd,0,18,-13,1,0.587954399263233
19,#阿坝这五年##马尔康锅庄节# 锅庄节开幕式结束后，十三个县的锅庄队在马尔康街上巡游。 ????????, 9月27日 15:17,13,10,60,iPhone 6s,FnKHpunb6,0,19,-14,1,0.5542169341900348
36,#马尔康锅庄节# 开幕式结束，全场跳起万人锅庄，一片欢乐的海洋！ ?????? ????????, 9月27日 10:58,6,1,9,iPhone 6s,FnJ0meUiC,0,36,-15,1,0.5679891446293891
37,#马尔康锅庄节# 著名嘉绒藏族歌手容中尔甲唱响《神奇的九寨》 ?????? L阿坝微博的微博视频 ????????, 9月27日 10:41,4,2,12,iPhone 6s,FnITamlzH,0,37,-16,1,0.40478213794995843
38,#马尔康锅庄节# “天上有多少颗星，锅庄就有多少调：山上有多少棵树，锅庄就有多少词；牦牛身上有多少毛，锅庄就有多少舞姿”，这不仅是人们对马尔康锅庄的赞誉，更是对丰富多彩的阿坝藏羌锅庄的赞誉。阿坝藏羌锅庄，是阿坝儿女的一张名片。今天，我们相聚在这里，用锅庄舞的豪迈，舞动阿坝，舞动激情 ????????...展开全文c, 9月27日 10:39,4,1,11,iPhone 6s,FnISI196s,0,38,-17,1,0.6795302735166698
39,#马尔康锅庄节# 马尔康党坝乡尕兰村锅庄《拉里夕莫》。锅庄赞颂十三的月亮明晃晃，犹如汉子的笑脸帅气明亮。十三的月亮明晃晃，犹如美丽的姑娘照亮寨子。意为汉子和姑娘相互爱慕，相互敬仰，相互赞美。 L阿坝微博的微博视频 ????????, 9月27日 10:32,5,评论,8,iPhone 6s,FnIPA86Vx,0,39,-18,1,0.6823366182875334
40,#马尔康锅庄节# 茂县萨朗巍巍九鼎献上赤热的羌红滔滔岷江敬上甘甜的咂酒璀璨的营盘向你诉说千年不朽的文明，神秘的牟托向你吟颂民族英雄的赞歌这是来自“阳光福地????风情茂县”的羌山儿女，向你展示历经数千年沧桑与磨难创造的独具特色的——羌族萨朗。萨朗是典型的集歌舞于一体的少数民族艺术形式 ????????...展开全文c, 9月27日 10:25,8,3,23,iPhone 6s,FnIN247zl,0,40,-19,1,0.740722497177735
41,#马尔康锅庄节# 壤塘锅庄，壤塘境内有嘉绒藏族、康巴藏族和安多藏族，从而形成了壤塘独特的文化，壤塘锅庄就是集中反应这一文化特色的重要载体。壤塘锅庄吸纳了嘉绒锅庄的基本舞步，又受境内康巴、安多支系舞蹈的影响，形成了在圈舞的基础形式上，热情奔放的一面。女子的弯腰、屈膝突出藏族姑娘的礼仪 ????????...展开全文c, 9月27日 10:21,5,评论,7,iPhone 6s,FnIL2eAZQ,0,41,-20,1,0.6408355935361683
42,#马尔康锅庄节# 汶川县锅庄《俄格西》（油麦舞）居住高山之巅云朵上的羌族，用勤劳质朴的双手耕耘着美好的未来和幸福的憧憬，春夏耕种培育着绿油油的麦苗风吹麦浪，到处都散发泥土芳香的时候，整个寨子都沉浸在忙碌而热闹的一派大景象！秋收冬藏，一分耕耘一分收获，丰收的日子里，劳动的俄格西（油麦 ????????...展开全文c, 9月27日 10:15,3,评论,8,iPhone 6s,FnIIVDNPJ,0,42,-21,1,0.7507236172422767
43,"#马尔康锅庄节# 松潘锅庄“夏笛”简介“笛厦”（有的地方音为xia,有的地方音为sha 。）是安多农区藏族的一种古老的民间传统艺术，“笛”（笛尕尔）是戏剧，是唱腔、唱词和舞蹈动作的结合；“厦”（厦卓）是舞蹈，是通过丰富肢体语言来抒发感情的表达形式。松潘县的“笛厦”产生于隋唐时期，是随着从 ????????...展开全文c", 9月27日 10:10,2,4,5,iPhone 6s,FnIGKiDvw,0,43,-22,1,0.6774712095571906
44,#马尔康锅庄节# 阿坝县锅庄舞，又称为“果卓”“卓”，藏语意为圆圈歌舞，是阿坝县民间舞蹈之一。阿坝县的锅庄与英雄格萨尔有关，因此可以这样说——英雄格萨尔什么时候东征凯旋，什么时候就有了阿坝锅庄。据老人们说，在我们爷爷的爷爷的爷爷以前，“锅庄”这种歌舞形式就已经在阿坝流行开来，无论在 ????????...展开全文c, 9月27日 10:07,2,1,6,iPhone 6s,FnIFwD8J5,0,44,-23,1,0.7174351899184733
45,#马尔康锅庄节# 若尔盖旺则锅庄代表队，他们为大家带来锅庄曲目叫“福地花岭”。“福地花岭”也称为“十三颂”“十三吉祥”“十三吉祥赞”。赞美天赞美地，赞美宇宙乾坤、自然阳光；赞美藏民族心中的佛祖、守护神、战神；赞美祥瑞之根源，歌颂圆满吉祥。 L阿坝微博的微博视频 ????????, 9月27日 10:00,1,评论,9,iPhone 6s,FnICHoCEI,0,45,-24,1,0.6622867714610845
