序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag
1,【广元绵阳国省干线公路畅通！青川5.4级地震交通运输情况汇总】#四川青川地震# “9·30”四川青川5.4级地震发生后，在省委省政府的统一安排部署下，四川省交通运输厅高度重视，立即行动，指导市县迅速开展交通抢险救灾工作。具体情况戳图↓↓,9月30日 23:54,1,3,3,微博 weibo.com,Fogmy7omS,0
2,#四川交通出行# G213线茂县石大关处国庆期间管制通行方案：上午7点至12点允许茂县至松潘方向车辆通行，下午1点至6点允许松潘至茂县方向车辆通行,9月30日 22:16,4,5,2,iPhone 6s Plus,FofIWikeD,0
3,#四川青川地震#目前绵阳、广元高速公路通行正常，广元市和青川县、绵阳市交通部门已上路查看，暂未接到公路明显受灾报告。我厅已要求密切关注相关区域，做好隐患排查，遇有灾情及时报告。 ????,9月30日 15:28,17,13,6,微博 weibo.com,Fod3surgm,0
4,【10月出行注意！达万、绵遂等多条高速有施工情况！】#四川交通出行#10月出行注意啦！成德南、达万、巴南等等高速部分路段将施工占道，部分高速因施工将道路封闭，需绕行。为了大家能出行顺利，请在出行前查询路况信息，做好绕行准备，注意安全！,9月30日 15:12,2,1,赞,微博 weibo.com,FocX0qWEF,0
5,#地震快讯#省政府新闻办权威发布，据四川省地震局测定，09月30日14时14分在四川广元市青川县（北纬32.27度，东经105.00度）发生5.4级地震，震源深度13千米。,9月30日 14:36,4,1,164,微博 weibo.com,FocI4kKVw,0
6,#地震快讯#中国地震台网自动测定：09月30日14时14分在四川绵阳市江油市附近（北纬32.25度，东经105.07度）发生5.4级左右地震，最终结果以正式速报为准。（ @中国地震台网速报 ）,9月30日 14:20,3,1,149,微博 weibo.com,FocBIebLJ,0
7,【“达州通”刷卡机亮相 市民有望扫码坐公交】#市州动态#目前，达州市已经安装了200余台“达州通”刷卡机，下个月达州市民便可使用！目前达城有373台公交车，从26日晚到现在，工作人员已安装了200余台“达州通”刷卡机，接下来将对11路、13路、15路等线路公交车进行安装。,9月30日 13:38,转发,2,3,微博 weibo.com,FockFbQ4F,0
8,【成都交委发布：普通国省干线及旅游公路通行情况】#市州动态#近日，成都市交委发布近期市域普通国省干线公路及重要旅游公路通行情况，为市民“双节”出行提供交通指南。详戳↓↓ ????,9月30日 11:15,2,1,1,微博 weibo.com,FoboKnwIf,0
9,【成安渝高速今天下午2点全线通车】#市州动态#成安渝高速公路全线将于今日下午2点通车。这就意味着，作为连接成渝两地距离最短、路线最优、建设标准最高的高速公路全线建成通车。新开通的成安渝主线站至成都第二绕城高速公路段长24公里，设置了成都主线收费站、龙泉驿收费站和洛带收费站3个收费 ????...展开全文c,9月30日 09:28,6,4,3,微博 weibo.com,FoaHjfXTX,0
10,#四川晚安#国庆大假有朋友打算自驾游吗？准备去哪儿？ ????,9月29日 22:30,转发,4,4,微博 weibo.com,Fo6nWuzYS,0
11,【“十一”黄金周来临 成都各大车站最热客运线路预警】#市州动态#结合往年的“十一”黄金周旅客出行情况，@成都交通运输 对今年客流高峰期进行了分析预测，对成都各车站客流量较大的线路做了统计↓↓ ????,9月29日 17:30,转发,评论,赞,微博 weibo.com,Fo4qaEpeG,0
12,【巴中市掀起第三轮交通大会战】#市州动态#25日，巴中市交通运输工作现场会在平昌召开。会议要求：要坚定不移实施交通先行战略，以“148”立体交通网络为重点，突出“加密、联网、升级”主攻方向，集中五年时间，完成交通投资685亿，全面构建“6631”综合交通体系，把巴中建成外快内畅、便捷高效 ????...展开全文c,9月29日 15:59,3,2,5,微博 weibo.com,Fo3PrxFip,0
13,【我省道路运输三项事项列入全省“多证合一”改革】#交通动态#25日起，全省正式全面实施“多证合一”改革。我省道路运输三项事项列入此次“多证合一”改革，分别为：道路运输企业变更名称、法定代表人、地址（限县域内）备案；道路货运代理经营备案；道路货运配载经营备案。今后，我省道路运输企 ????...展开全文c,9月29日 14:30,转发,评论,赞,微博 weibo.com,Fo3fnxhsh,0
14,【9号线将成为成都地铁首条无人驾驶线路】#市州动态#9号线从设计之初就决定采用无人驾驶模式。无人驾驶与有人驾驶主要在车辆、信号系统等方面有诸多不同。其中信号系统的自动化程度非常高，系统不仅具有“唤醒模块”，到点就会自动启动“上班模式”，而且也有自动休眠模式，知道“到点就下班”。 ????...展开全文c,9月29日 13:26,转发,1,2,微博 weibo.com,Fo2Pex1Sl,0
15,【广元市国道212线南山隧道工程开工】#市州动态#国道212线南山隧道工程起于国道212线南环路碑坪子，止于万源20号公路3段，路线全长6.734公里，项目总投资约13.3亿元，预计2020年完工。该项目的建成将打通国道212线广元市城区过境段交通瓶颈，大幅提升城市交通效率，从根本上解决广元市城区南向出 ????...展开全文c,9月29日 11:16,转发,评论,1,360安全浏览器,Fo1YB5VZi,0
16,【油价今日24时后或上涨 国庆出行可提前加油】#交通分享#新一轮成品油调价窗口将于9月29日24时开启。多家机构预测，国内油价将迎来“二连涨”，或创年内最大涨幅。所以“十一”长假有出行计划的小伙伴们可以在今天下班以后提前加油，节约出行成本！,9月29日 10:26,1,2,赞,360安全浏览器,Fo1Emqxbw,0
17,【川西高原三年内打通高速公路网】#交通动态#川西高原一直是四川境内的明珠，但常年以来，这两地的交通主要依靠国道，一直未能实现高速通行。情况正在发生变化，入阿坝的汶马高速预计将在2020年通行，而直达甘孜州府康定市的雅康高速，预计最快明年就能通车，天险即将变通途！,9月28日 16:00,1,评论,2,微博 weibo.com,FnUp99XSh,0
