ID,微博内容
1,#最新消息#中国地震台网正式测定：05月26日21时01分在四川省雅安市芦山县（北纬30.3度，东经103.0度）发生4.2级地震，震源深度17千米。据@中国地震台网速报
2,#最新消息#中国地震台网正式测定：05月16日01时24分在四川省雅安市芦山县、宝兴县交界（北纬30.4度，东经103.0度）发生3.8级地震，震源深度17千米。据@中国地震台网速报 希望灾区一切安好！ 再次晚安，各位！
3,#最新消息#中国地震台网自动测定：05月16日01时24分在四川省雅安市芦山县附近（北纬30.4度，东经103.1度）发生3.7级左右地震，最终结果以正式速报为准。小编醒了...据@中国地震台网速报 ????????
4,#最新消息#中国地震台网正式测定：05月11日09时07分在四川省雅安市芦山县、宝兴县交界（北纬30.3度，东经103.0度）发生3.8级地震，震源深度18千米。今晨05时55分至目前，雅安灾区已发生4次地震，希望灾区人们一切都还好！据中国地震台速报
5,#最新消息#中国地震台网自动测定：05月11日09时07分在四川省雅安市芦山县附近（北纬30.3度，东经103.0度）发生3.6级左右地震，最终结果以正式速报为准。据@中国地震台网速报 ????????
6,#最新消息#中国地震台网正式测定：05月11日08时50分在四川省雅安市芦山县（北纬30.3度，东经103.0度）发生3.8级地震，震源深度18千米。据@中国地震台网速报
7,#最新消息#中国地震台网自动测定：05月11日08时50分在四川省雅安市芦山县附近（北纬30.3度，东经103.0度）发生3.9级左右地震，最终结果以正式速报为准。据@中国地震台网速报 ????????
8,【四川电台直播连爱心，援助灾区重建】#关注芦山7级地震#雅安市政府消息，目前灾区已转入过渡安置关键时期，截至5月5日，全市72.9341万名需安置的受灾群众已全部得到安置。四川经济频率与哈尔滨经济广播，并机直播募集的第一笔100万元爱心款已到位，将用于芦山县基础医疗设施重建和设备配套。据@新华网 ????????
9,#最新消息#05月01日02时14分在四川省雅安市芦山县、宝兴县、天全县交界（北纬30.2度，东经102.9度）发生4.1级地震，震源深度14千米。 小编正在看皇马VS多特。希望灾区一切都好！
10,#最新消息#05月01日02时14分在四川省雅安市芦山县附近（北纬30.2度，东经102.9度）发生4.0级左右地震，最终结果以正式速报为准。愿灾区人们都平安。@中国地震台网速报 ????????
11,#关注芦山7级地震#【士兵的手】雅安陆军预备役步兵团的20多名官兵从4月21日来到转运点以来，每天负责装运大米、矿泉水、帐篷等救援物资近150吨。每一件救援物资的中转和送达，都是靠官兵们的一双双手来搬运。@新华网 记者利用短暂的休息时间用相机记录下他们的双手，劳动节到了，向他们致敬！ ????????
12,#关注芦山7级地震#【今日雅安大部发生地质灾害可能性较大】昨20时至今日20时，雅安芦山、宝兴、天全、荥经及雨城区发生地质灾害可能性大（橙色预警）。芦山县大川镇、太平镇等地尤为要注意。据悉，雅安5月将成全国暴雨中心，中国气象局称平均降雨量达1200多毫米，发生次生灾害可能性很大。据@人民日报 ????????
13,#关注芦山7.0级地震#成都还有众多的企业和个人出力，为雅安重建家园，加油！
14,#关注芦山7级地震#【五一雅西高速小车免费，请给雅安让出救灾通道】昨日，雅西高速公路公司相关负责人介绍，雅西高速在五一小长假期间将对7座以下小客车免费通行，“但是由于雅西高速是通往震区抢险的通道，希望市民不要在荥经收费站下高速，以免使得救灾通道被堵塞。”请大家相互转告！据@四川日报 ????????
15,#关注芦山7级地震#【护路工兄弟，走好！】李安全，芦山太平镇护路工。地震当天一早去护路，山塌了，于是再没消息。十四集团军工兵救援队12人1狗在坍塌山体找寻了五天，今天14点20分终于找到他的遗体。向这位尽职尽责的护路工致敬。你既忠于职守，我亦不会放弃。安息！走好！据@雅安芦山抗震救灾 ????????
16,#关注芦山7级地震#【无论你在哪里，我都要找到你！】穿过山谷，我在呼唤你。石缝里，我终于看到你，搬开山石轻轻地抱出你。虽然你已远离，我向你敬礼......@雅安芦山抗震救灾 ????????
17,#晚安成都#这名小女孩年仅4岁，家住雅安市宝兴县灵关镇，在此次“4·20芦山地震”中，左脚被倒下的墙压伤，目前在@四川省八一康复中心 接受治疗。病床上的她左脚被夹板固定着，但她始终保持着甜甜的笑容。孩子，谢谢你，你的笑容给了我们最大力量。芦山加油！@金温江 晚安各位，晚安成都！ ????????
18,#关注芦山7级地震#【遇难人数增至196人】截至今天18点，地震遇难人数增加至196人。四川省失踪人数减少3人，变成21人，13484人受伤，其中重伤995人，全部来自雅安。从废墟中救人的数据依然是475人。期待生命奇迹！据@央视新闻 ????????
19,#关注芦山7级地震#【汶川地震宝宝芦山地震去世】雅安芦山县黎明村王洪武的女儿王延霞本来应该在2008年5月12日来到世间，但由于当天芦山震感强烈，妈妈的剖腹产手术就延后了一天，孩子于5月13日出生。4月20日清晨，芦山地动山摇，小延霞被断墙砸中头部离世。小姑娘走好！据@成都全搜索新闻网 ????????
20,#关注芦山7级地震#【雅安救援求助最新通讯录】请大家扩散，不要轻易相信各种未经证实的救助电话号码，遇到这些号码可以对比一下，让爱心能够真实、有效地传递。据@成都晚报 ????????
21,#关注雅安地震#【四川省下拨中央和省财政应急救灾综合补助资金15亿元】四川省财政厅昨下达“4·20”芦山7.0级地震中央和省级应急救灾综合补助资金15亿元，用于物资调运、伤员救治、生活救助、卫生防疫、遇难人员家属抚慰及道路、水利、供水、通讯等基础设施和学校、医院等公共设施应急抢修。据@成都日报 ????????
22,【今天成都阴天间多云有小雨，雅安地震灾区有小到中雨】#成都气象#据@中国天气网 今天芦山、宝兴地震灾区有小到中雨，伴有雷电，临时安置房需注意雷电灾害防御。成都昨晨突降一场阵雨，@成都气象 说，今天成都部分地区还会有中雨，17～27℃。成温邛、成雅高速公路阴天间小雨。【今日限行尾号3、8】 ????????
23,#晚安成都#生命有限，而爱无限。风雨阻碍不了救援的决心，只为，生命逝去的数字不再跳动。今夜，让我们携手一起为地震灾区的人们祈福，将这份光和温度，爱与信念传递下去，不要止步。我在成都，祈福雅安！
24,#我在成都·祈福雅安#//@人民日报 :我在北京，祈福雅安!接力//@中国地震台网速报 :我在北京，祝福雅安!//@雅安同城会 :我在雅安，祈福雅安!//@南海民政 :我在南海，祈福雅安!//@新余新精彩 :我在江西新余，祈福四川雅安!//@牛城晚报微博 :我们在邢台，祈福雅安//@珠江时报 :我在佛山，祈福雅安!
25,#关注雅安地震#【图说：长大了，我也要当解放军。】据@雅安芦山抗震救灾 ????????
